feature,G2,p,n_target,n_reference
hullhouse,2525.198397033395,0,899,0
club,2080.442000406074,0,774,9
miss,1252.7533238682445,0,556,48
mr,1019.0413946062387,0,440,32
of,831.9499786666743,0,7785,15971
the,819.0458514162947,0,13964,32173
mrs,679.1852748652395,0,334,47
clubs,468.3792225875282,0,187,7
residents,391.7785222333438,0,163,9
classes,379.2981365935944,0,294,128
given,378.59539318659307,0,347,193
boys,363.1273107082419,0,240,78
members,339.2470787034125,0,296,154
evening,331.92030718573903,0,178,34
house,326.794769061094,0,260,118
italian,293.7927613552396,0,135,14
gymnasium,274.9294253685892,0,98,0
sanger,261.5283307789456,0,97,1
summer,260.3092428440383,0,165,49
plays,258.7881835038865,0,126,17
during,245.55449020900474,0,293,220
association,244.48341975696684,0,143,35
neighborhood,242.44162717111803,0,141,34
dancing,240.50342564442965,0,101,6
greek,237.74531972795165,0,98,5
year,235.89151376521687,0,372,356
hundred,228.55625591776962,0,127,27
room,223.00606885807187,0,192,98
held,218.36513123656226,0,229,150
bowen,216.71573084397804,0,86,3
upon,200.74996811487907,0,183,101
years,192.08368320088675,0,414,489
which,190.89879530447195,0,949,1627
social,184.5380827100131,0,299,292
dramatic,182.74933067873673,0,86,10
by,181.64690280020181,0,1370,2652
lectures,180.86971722728754,0,68,1
charge,172.45533078876744,0,137,62
league,171.36804118684478,0,103,27
school,166.83873226346213,0,364,433
hall,165.55621833457016,0,137,66
kindergarten,165.48538089390308,0,65,2
museum,163.53680507466086,0,80,11
various,158.16935623715494,0,139,73
and,157.00661440574527,0,5836,14740
street,153.06570260010918,0,134,70
afternoon,151.2617508324997,0,83,17
music,150.76787970729023,0,117,51
his,150.16622240546127,0,450,632
attendance,146.2954480162839,0,58,2
has,144.16425951529465,0,887,1624
parties,143.51262814007157,0,81,18
instruction,143.0657156920528,0,51,0
winter,141.7117237160773,0,87,24
evenings,138.3302909278844,0,80,19
lecture,138.0878686881042,0,55,2
juvenile,136.6620440252409,0,68,10
public,135.7699306750262,0,238,246
building,134.37499605654358,0,140,91
last,129.75259601759564,0,213,210
reception,129.6696876190425,0,54,3
committee,127.34656101518298,0,141,98
library,126.7990307473671,0,74,18
coffee,126.49564315258903,0,75,19
membership,125.49627154897313,0,82,26
large,124.18430718704971,0,165,137
studio,122.68729714612998,0,47,1
playground,122.68729714612998,0,47,1
entertainments,120.62275189428932,0,43,0
been,120.37199808065691,0,728,1326
entertainment,117.09173786348845,0,56,7
charities,116.26135031616359,0,47,2
furnished,115.01209833971086,0,41,0
young,114.91939331656883,0,156,132
addams,112.20678467151222,0,40,0
orchestra,112.20678467151222,0,40,0
childrens,112.10639923334202,0,72,22
was,110.33192149172987,0,1523,3354
play,108.6142738627245,0,138,110
investigation,105.31962512116016,0,69,22
interesting,104.6494479299723,0,98,56
theater,103.46700803997972,0,56,11
gave,101.36440093980396,0,115,82
auditorium,100.61351035901244,0,39,1
oclock,100.13633121456354,0,43,3
russian,99.36644936913727,0,59,15
composed,99.18964095546671,0,53,10
christmas,96.73296659082793,0,52,10
musical,95.37508618257786,0,34,0
chorus,94.54812535886686,0,39,2
greeks,91.84412775004924,0,38,2
nursery,91.31100081766147,0,51,11
rooms,90.52081839528394,0,53,13
teh,89.76458993055515,0,32,0
sunday,87.84087799789489,0,71,33
old,87.81746955875678,0,181,208
spinning,86.82524281747457,0,38,3
meets,85.38412144475221,0,53,15
refreshments,84.17389445352865,0,37,3
fifty,83.73912093452797,0,49,12
attended,83.49132409264739,0,61,24
visited,83.29503749192608,0,44,8
industrial,82.97635732066998,0,53,16
settlements,81.06788127960323,0,39,5
two,80.59849286560063,0,340,550
immigrants,79.83460944814624,0,37,4
valuable,79.72377173741957,0,45,10
entertained,78.54370229071681,0,28,0
extension,78.50208082372241,0,50,15
mary,76.71022972232697,0,63,30
smith,76.4107968681288,0,54,20
italians,76.24513111482776,0,34,3
vicinity,75.88336904252694,0,30,1
director,75.793980440367,0,83,57
probation,75.68095861882937,0,32,2
visiting,75.3666595078385,0,42,9
five,73.82866586528343,0,92,72
meetings,73.66797803138455,0,104,91
exhibit,73.61143251889453,0,33,3
pupils,73.14483336841448,0,29,1
occupied,72.95393828150748,0,41,9
polk,72.93331090145517,0,26,0
cooperation,72.23966997336208,0,43,11
maintained,71.84972916255113,0,45,13
arranged,71.70331369530669,0,47,15
camp,70.56350445393257,0,54,23
colony,70.55000845257166,0,40,9
weaving,70.40860660596192,0,28,1
hull,70.12812831466283,1.1102230246251565e-16,25,0
largely,69.64667899286466,1.1102230246251565e-16,57,27
great,69.64026727030915,1.1102230246251565e-16,160,196
settlement,69.54126908541502,1.1102230246251565e-16,48,17
quarters,69.48015008920028,1.1102230246251565e-16,33,4
direction,69.3439780496984,1.1102230246251565e-16,73,48
made,68.11671128019236,1.1102230246251565e-16,272,431
birthcontrol,67.64666623430541,2.220446049250313e-16,29,2
kindly,67.64666623430541,2.220446049250313e-16,29,2
annual,67.34783062686964,2.220446049250313e-16,47,17
dante,67.32295446569165,2.220446049250313e-16,24,0
ewing,67.32295446569165,2.220446049250313e-16,24,0
concerts,67.32295446569165,2.220446049250313e-16,24,0
audience,66.97695119954182,2.220446049250313e-16,54,25
every,66.73701157374882,3.3306690738754696e-16,241,367
children,66.6970026309954,3.3306690738754696e-16,384,689
vacation,65.74196146880847,5.551115123125783e-16,30,3
english,65.55447338120791,5.551115123125783e-16,59,32
settlers,64.94375569700343,7.771561172376096e-16,26,1
presented,63.205983255985984,1.887379141862766e-15,66,43
dances,63.13046899462256,1.887379141862766e-15,29,3
milk,63.11499178946897,1.9984014443252818e-15,38,10
opened,62.56502385604988,2.55351295663786e-15,62,38
athletic,62.21551801209519,3.1086244689504383e-15,25,1
recreative,61.71263298276323,3.9968028886505635e-15,22,0
successful,61.58925785438813,4.218847493575595e-15,70,50
latter,60.58397692812757,7.105427357601002e-15,42,15
department,60.447413098918915,7.549516567451064e-15,97,94
delightful,59.49036835929758,1.2323475573339238e-14,24,1
players,59.49036835929758,1.2323475573339238e-14,24,1
erected,59.49036835929758,1.2323475573339238e-14,24,1
guests,59.49036835929758,1.2323475573339238e-14,24,1
branch,59.423907212113974,1.2656542480726785e-14,33,7
organized,59.29800490460782,1.354472090042691e-14,102,104
auspices,58.90748534828663,1.6542323066914832e-14,21,0
tad,58.90748534828663,1.6542323066914832e-14,21,0
number,58.5788416216096,1.9539925233402755e-14,146,187
he,58.57774465823397,1.9539925233402755e-14,492,977
ball,58.269016405562056,2.2870594307278225e-14,30,5
resident,58.26322823120119,2.298161660974074e-14,38,12
west,57.331652430256916,3.68594044175552e-14,62,42
connection,57.07374541966691,4.196643033083092e-14,59,38
directors,57.01736479068783,4.318767565791859e-14,44,19
garden,56.998555270594245,4.363176486776865e-14,25,2
week,56.92688868961373,4.518607710224387e-14,112,125
occasional,56.688856961286895,5.10702591327572e-14,28,4
occasion,56.33580248504637,6.106226635438361e-14,34,9
dr,56.30189973526194,6.217248937900877e-14,81,72
sewing,55.77697698521156,8.115730310009894e-14,29,5
present,55.40535859467562,9.803269307440132e-14,166,233
cottage,54.35035052118875,1.6775469902086115e-13,24,2
drawing,54.24920965845903,1.766364832178624e-13,32,8
saturday,54.23525172119291,1.7785772854495008e-13,67,52
